DotProd,AVX=FALSE,DATA=F64,25165824,3145728,2,8057700.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,3,8120600.00,0.77
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,4,8040700.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,5,8233300.00,0.76
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,6,8057200.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,7,8082000.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,8,8093700.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,9,8023600.00,0.78
DotProd,AVX=FALSE,DATA=F64,25165824,3145728,10,7999100.00,0.79
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,1,6474400.00,0.97
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,2,4128700.00,1.52
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,3,3979000.00,1.58
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,4,3881400.00,1.62
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,5,3945700.00,1.59
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,6,3922600.00,1.60
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,7,3825700.00,1.64
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,8,3806400.00,1.65
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,9,3766300.00,1.67
EleMult,AVX=FALSE,DATA=F64,25165824,3145728,10,3797200.00,1.66
SAXPY,AVX=TRUE,DATA=F64,16384,2048,1,2000.00,2.05
SAXPY,AVX=TRUE,DATA=F64,16384,2048,2,1800.00,2.28
SAXPY,AVX=TRUE,DATA=F64,16384,2048,3,2800.00,1.46
SAXPY,AVX=TRUE,DATA=F64,16384,2048,4,2900.00,1.41
SAXPY,AVX=TRUE,DATA=F64,16384,2048,5,2900.00,1.41
SAXPY,AVX=TRUE,DATA=F64,16384,2048,6,2900.00,1.41
SAXPY,AVX=TRUE,DATA=F64,16384,2048,7,2900.00,1.41
SAXPY,AVX=TRUE,DATA=F64,16384,2048,8,2800.00,1.46
SAXPY,AVX=TRUE,DATA=F64,16384,2048,9,2800.00,1.46
SAXPY,AVX=TRUE,DATA=F64,16384,2048,10,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,1,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,2,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,3,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,4,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,5,2700.00,1.52
DotProd,AVX=TRUE,DATA=F64,16384,2048,6,2800.00,1.46
DotProd,AVX=TRUE,DATA=F64,16384,2048,7,2700.00,1.52
