0,#NAME?
1,0.02
2,0.04
4,0.08
8,0.16
16,0.32
64,0.64
128,1.28
256,1.28
512,1.46
1024,1.46
2048,1.58
4096,1.55
8192,1.58
16384,1.5
32768,1.5
65536,1.48
131072,1.57
262144,1.57
524288,1.56
1048576,1.56
2097152,1.39
4194304,1.57
8388608,1.63
16777216,1.6
33554432,1.62
67108864,1.6
134217728,1.6
268435456,1.58
536870912,1.48
1073741824,1.55
0,0
1,inf
2,inf
4,0.08
8,0.16
16,0.32
32,0.64
64,inf
128,2.56
256,2.56
512,2.56
1024,4.1
2048,4.1
4096,4.31
8192,4.43
16384,4.2
32768,4.1
65536,4.07
131072,4.76
262144,4.72
524288,4.35
1048576,4.62
2097152,4.53
4194304,3.49
8388608,4
16777216,4.44
33554432,4.51
67108864,4.21
134217728,4.37
268435456,4.46
536870912,4.39
1073741824,4.26
